regional,municipio,localizacao,escola_indigena,codigo_escola,nome_escola,ponto_bonus_professor,etapa_ensino
CAPITAO POCO,Capitão Poço,Rural,True,15176240,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA PAKOTYW,,ENSINO FUNDAMENTAL ANOS FINAIS
CAPITAO POCO,Capitão Poço,Rural,True,15534316,ESCOLA ESTADUAL FRANCISCO MAGNO TEMBE,,ENSINO FUNDAMENTAL ANOS FINAIS
CAPITAO POCO,Capitão Poço,Rural,True,15534324,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA PIRA,,ENSINO FUNDAMENTAL ANOS FINAIS
CAPITAO POCO,Capitão Poço,Rural,True,15575217,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA JACARE,,ENSINO FUNDAMENTAL ANOS FINAIS
CASTANHAL,Santa Maria do Pará,Rural,False,15062791,ESCOLA ESTADUAL INDIGENA CACICA MARIA CASSIANO TEMBE,,ENSINO FUNDAMENTAL ANOS FINAIS
CACHOEIRA DO ARARI,Soure,Rural,False,15033643,ESCOLA ESTADUAL JOANA DE LIMA CABRAL,,ENSINO FUNDAMENTAL ANOS FINAIS
ABAETETUBA,Abaetetuba,Urbana,False,15064417,ESCOLA ESTADUAL PROF CARMEM CARDOSO FERREIRA,,ENSINO FUNDAMENTAL ANOS FINAIS
ABAETETUBA,Abaetetuba,Urbana,False,15064514,ESCOLA ESTADUAL TEREZINHA DE JESUS F LIMA,,ENSINO FUNDAMENTAL ANOS FINAIS
,Belém,Urbana,False,15040208,ESCOLA ESTADUAL RUTH PASSARINHO,,ENSINO FUNDAMENTAL ANOS FINAIS
XINGUARA,Água Azul do Norte,Rural,False,15177904,ESCOLA ESTADUAL RURAL DE AGUA AZUL DO NORTE,0.5,ENSINO MEDIO
ALTAMIRA,Altamira,Rural,False,15177858,ESCOLA ESTADUAL RURAL DE ALTAMIRA,0.5,ENSINO MEDIO
BREVES,Anajás,Urbana,False,15024237,ESCOLA ESTADUAL RUI BARBOSA,0.5,ENSINO MEDIO
BELEM 10,Belém,Urbana,False,15042952,ESCOLA ESTADUAL PROFA MARTA DA CONCEICAO,0.5,ENSINO MEDIO
BELEM 02,Belém,Rural,False,15181545,ANEXO EE RUI BARBOSA - ILHA DAS ONCAS,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15155862,ESCOLA ESTADUAL INDIGENA PEPTYKRE PARKATEJE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15162990,ESCOLA ESTADUAL INDIGENA KATEKAPONOTI,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15170411,ESCOLA ESTADUAL INDIGENA ME AKRE KOYAKATI,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15170462,ESCOLA ESTADUAL INDIGENA RONORE KAPERE TEMEJAKREKATE AKRATIKATEJE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15171892,ESCOLA ESTADUAL INDIGENA IMPOHYTUWA,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15171957,ESCOLA ESTADUAL INDIGENA KUXWARE KRIAMRENTIJE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15171965,ESCOLA ESTADUAL INDIGENA TOKURYKTI,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15172694,ESCOLA ESTADUAL INDIGENA AKROTIKATEJE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15172708,ESCOLA ESTADUAL INDIGENA JUKAPI KRIJOHERE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15173186,ESCOLA ESTADUAL INDIGENA KOJIPOKTI,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15179249,ESCOLA ESTADUAL INDIGENA KWYNTYNKRE KYIKATEJE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15179796,ESCOLA ESTADUAL INDIGENA KRUAPUTITIRE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15179800,ESCOLA ESTADUAL INDIGENA KWYNKAPREKRE KUWEKATITI,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15181464,ESCOLA ESTADUAL INDIGENA PAHIXATI,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15181472,ESCOLA ESTADUAL INDIGENA ROKOKATEJE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15181480,ESCOLA ESTADUAL INDIGENA JATHIATI PARKATEJE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15181499,ESCOLA ESTADUAL INDIGENA AKRATI ME HAKRE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15181502,ANEXO JARKOJAHERE,0.5,ENSINO MEDIO
MARABA,Bom Jesus do Tocantins,Rural,True,15574261,ESCOLA ESTADUAL INDIGENA TATAKT KYIKATEJE,0.5,ENSINO MEDIO
MARABA,Brejo Grande do Araguaia,Rural,False,15177513,ESCOLA ESTADUAL RURAL DE BREJO GRANDE DO ARAGUAIA,0.5,ENSINO MEDIO
SANTA IZABEL DO PARA,Bujaru,Rural,False,15177491,ESCOLA ESTADUAL RURAL DE BUJARU,0.5,ENSINO MEDIO
CACHOEIRA DO ARARI,Cachoeira do Arari,Rural,False,15177572,ESCOLA ESTADUAL RURAL DE CACHOEIRA DO ARARI,0.5,ENSINO MEDIO
PARAUAPEBAS,Canaã dos Carajás,Rural,False,15177696,ESCOLA ESTADUAL RURAL DE CANAA DOS CARAJAS,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15167143,ESCOLA ESTADUAL INDIGENA FELIX TEMBE,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15171566,ANEXO EE FELIX TEMBE - RUFINO ROMAO TEMBE,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15176215,ESCOLA ESTADUAL INDIGENA ITA PUTYR,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15176223,ESCOLA ESTADUAL INDIGENA FRANCISCO ROMAO TEMBE,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15176231,ESCOLA ESTADUAL INDIGENA PINO A,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15176240,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA PAKOTYW,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15534316,ESCOLA ESTADUAL FRANCISCO MAGNO TEMBE,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15534324,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA PIRA,0.5,ENSINO MEDIO
CAPITAO POCO,Capitão Poço,Rural,True,15575217,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA JACARE,0.5,ENSINO MEDIO
CONCEICAO DO ARAGUAIA,Cumaru do Norte,Rural,True,15170551,ANEXO EE JOAO PINTO PEREIRA - GOROTIRE,0.5,ENSINO MEDIO
OBIDOS,Faro,Rural,False,15177319,ESCOLA ESTADUAL RURAL DE FARO,0.5,ENSINO MEDIO
MAE DO RIO,Irituia,Urbana,False,15559211,ESCOLA ESTADUAL PROF FRANCISCO NUNES,0.5,ENSINO MEDIO
MARABA,Itupiranga,Rural,False,15177742,ESCOLA ESTADUAL RURAL DE ITUPIRANGA,0.5,ENSINO MEDIO
MARABA,Jacundá,Rural,False,15177769,ESCOLA ESTADUAL RURAL DE JACUNDA,0.5,ENSINO MEDIO
ALTAMIRA,Medicilândia,Rural,False,15177980,ESCOLA ESTADUAL RURAL DE MEDICILANDIA,0.5,ENSINO MEDIO
